Date,Price,Open,High,Low,Change %
30-Jun-17,1.1426,1.1442,1.1448,1.1393,-0.13%
3-Jul-17,1.1364,1.1422,1.1431,1.1357,-0.54%
4-Jul-17,1.1345,1.1366,1.138,1.1339,-0.17%
5-Jul-17,1.1353,1.1345,1.1369,1.1312,0.07%
6-Jul-17,1.1423,1.1351,1.1425,1.1329,0.62%
7-Jul-17,1.1401,1.1423,1.144,1.1379,-0.19%
10-Jul-17,1.14,1.1391,1.1418,1.1381,-0.01%
11-Jul-17,1.1467,1.14,1.1482,1.1383,0.59%
12-Jul-17,1.1412,1.1467,1.1491,1.1392,-0.48%
13-Jul-17,1.1399,1.1413,1.1459,1.1373,-0.11%
14-Jul-17,1.1469,1.14,1.1473,1.1392,0.61%
17-Jul-17,1.1479,1.1462,1.1487,1.1434,0.09%
18-Jul-17,1.1555,1.148,1.1585,1.1473,0.66%
19-Jul-17,1.1516,1.1554,1.1559,1.1509,-0.34%
20-Jul-17,1.1631,1.1513,1.1657,1.1479,1.00%
21-Jul-17,1.1663,1.1634,1.1684,1.162,0.28%
24-Jul-17,1.1642,1.1662,1.1688,1.1628,-0.18%
25-Jul-17,1.1652,1.164,1.1712,1.163,0.09%
26-Jul-17,1.1734,1.1648,1.1741,1.1613,0.70%
27-Jul-17,1.1677,1.1734,1.1777,1.1649,-0.49%
28-Jul-17,1.1752,1.1677,1.1765,1.1671,0.64%
31-Jul-17,1.1842,1.1737,1.1847,1.1723,0.77%
1-Aug-17,1.1802,1.1841,1.1845,1.1784,-0.34%
2-Aug-17,1.1856,1.1802,1.1911,1.1794,0.46%
3-Aug-17,1.187,1.1856,1.1894,1.1831,0.12%
4-Aug-17,1.1772,1.1871,1.1893,1.1731,-0.83%
7-Aug-17,1.1796,1.1768,1.1816,1.1767,0.20%
8-Aug-17,1.175,1.1794,1.1825,1.1714,-0.39%
9-Aug-17,1.1759,1.1752,1.1765,1.1689,0.08%
10-Aug-17,1.1772,1.1759,1.1786,1.1704,0.11%
11-Aug-17,1.1821,1.1771,1.1846,1.1747,0.42%
14-Aug-17,1.178,1.1806,1.184,1.177,-0.35%
15-Aug-17,1.1735,1.178,1.1794,1.1688,-0.38%
16-Aug-17,1.177,1.1734,1.178,1.1682,0.30%
17-Aug-17,1.1724,1.1767,1.179,1.1662,-0.39%
18-Aug-17,1.1762,1.1723,1.1775,1.1707,0.32%
21-Aug-17,1.1816,1.175,1.183,1.1731,0.46%
22-Aug-17,1.1762,1.1815,1.1826,1.1745,-0.46%
23-Aug-17,1.1807,1.1763,1.1825,1.1741,0.38%
24-Aug-17,1.1799,1.1807,1.1821,1.1784,-0.07%
25-Aug-17,1.1926,1.1799,1.1942,1.1773,1.08%
28-Aug-17,1.1979,1.1926,1.1985,1.1917,0.44%
29-Aug-17,1.1972,1.1978,1.2069,1.1945,-0.06%
30-Aug-17,1.1883,1.1974,1.1986,1.1881,-0.74%
31-Aug-17,1.191,1.1884,1.1914,1.1823,0.23%
1-Sep-17,1.1859,1.1911,1.1981,1.185,-0.43%
4-Sep-17,1.1896,1.1858,1.1923,1.1853,0.31%
5-Sep-17,1.1914,1.1896,1.1941,1.1868,0.15%
6-Sep-17,1.1917,1.1914,1.1951,1.1903,0.03%
7-Sep-17,1.2023,1.1917,1.2061,1.1914,0.89%
8-Sep-17,1.2035,1.2024,1.2094,1.2016,0.10%
11-Sep-17,1.1953,1.2041,1.2041,1.1948,-0.68%
12-Sep-17,1.1967,1.1953,1.198,1.1926,0.12%
13-Sep-17,1.1886,1.1967,1.1995,1.1872,-0.68%
14-Sep-17,1.1919,1.1884,1.1922,1.1837,0.28%
15-Sep-17,1.1943,1.1919,1.1988,1.1901,0.20%
18-Sep-17,1.1954,1.1949,1.1971,1.1915,0.09%
19-Sep-17,1.1994,1.1955,1.2008,1.195,0.33%
20-Sep-17,1.1893,1.1994,1.2033,1.1862,-0.84%
21-Sep-17,1.1941,1.1894,1.1955,1.1866,0.40%
22-Sep-17,1.1954,1.1942,1.2006,1.1937,0.11%
25-Sep-17,1.1848,1.1953,1.1962,1.1833,-0.89%
26-Sep-17,1.1793,1.1848,1.1863,1.1758,-0.46%
27-Sep-17,1.1744,1.1792,1.1797,1.1717,-0.42%
28-Sep-17,1.1786,1.1746,1.1805,1.1721,0.36%
29-Sep-17,1.1814,1.1787,1.1834,1.1773,0.24%
2-Oct-17,1.1732,1.1818,1.1818,1.173,-0.69%
3-Oct-17,1.1744,1.1733,1.1775,1.1696,0.10%
4-Oct-17,1.176,1.1743,1.1788,1.1733,0.14%
5-Oct-17,1.1711,1.1758,1.178,1.1698,-0.42%
6-Oct-17,1.1734,1.171,1.1739,1.1668,0.20%
9-Oct-17,1.1741,1.1728,1.1758,1.1718,0.06%
10-Oct-17,1.1806,1.1739,1.1825,1.1738,0.55%
11-Oct-17,1.1859,1.1808,1.1871,1.1795,0.45%
12-Oct-17,1.183,1.1862,1.1882,1.1826,-0.24%
13-Oct-17,1.1823,1.1829,1.1875,1.1804,-0.06%
16-Oct-17,1.1797,1.1825,1.1826,1.1781,-0.22%
17-Oct-17,1.1766,1.1797,1.1801,1.1735,-0.26%
18-Oct-17,1.1787,1.1764,1.1805,1.1729,0.18%
19-Oct-17,1.1852,1.1788,1.186,1.1768,0.55%
20-Oct-17,1.1785,1.1853,1.1859,1.1763,-0.57%
23-Oct-17,1.1749,1.1773,1.1779,1.1725,-0.31%
24-Oct-17,1.1761,1.1749,1.1794,1.1743,0.10%
25-Oct-17,1.1813,1.176,1.1819,1.1752,0.44%
26-Oct-17,1.165,1.1811,1.1837,1.164,-1.38%
27-Oct-17,1.161,1.165,1.1659,1.1575,-0.34%
30-Oct-17,1.1651,1.1603,1.166,1.1594,0.35%
31-Oct-17,1.1646,1.1651,1.1663,1.1625,-0.04%
1-Nov-17,1.1619,1.1646,1.1659,1.1607,-0.23%
2-Nov-17,1.1658,1.1619,1.1689,1.1613,0.34%
3-Nov-17,1.1609,1.166,1.1692,1.1599,-0.42%
6-Nov-17,1.161,1.1609,1.1625,1.1579,0.01%
7-Nov-17,1.1586,1.1609,1.1618,1.1554,-0.21%
8-Nov-17,1.1595,1.1586,1.1612,1.1579,0.08%
9-Nov-17,1.1642,1.1596,1.1657,1.1586,0.41%
10-Nov-17,1.1665,1.1642,1.168,1.1623,0.20%
13-Nov-17,1.1667,1.1666,1.1677,1.1638,0.02%
14-Nov-17,1.1798,1.1667,1.1807,1.166,1.12%
15-Nov-17,1.1792,1.1797,1.1861,1.1784,-0.05%
16-Nov-17,1.177,1.1792,1.1802,1.1756,-0.19%
17-Nov-17,1.1795,1.1771,1.1823,1.1766,0.21%
20-Nov-17,1.1732,1.1789,1.1808,1.1721,-0.53%
21-Nov-17,1.1738,1.1732,1.1759,1.1713,0.05%
22-Nov-17,1.1822,1.1738,1.1829,1.1733,0.72%
23-Nov-17,1.1851,1.1822,1.1857,1.1812,0.25%
24-Nov-17,1.193,1.185,1.1945,1.1836,0.67%
27-Nov-17,1.1898,1.1933,1.1962,1.1896,-0.27%
28-Nov-17,1.1841,1.1898,1.1921,1.1827,-0.48%
29-Nov-17,1.1847,1.1841,1.1884,1.1817,0.05%
30-Nov-17,1.1904,1.1847,1.1933,1.1809,0.48%
1-Dec-17,1.1891,1.1904,1.1942,1.1851,-0.11%
4-Dec-17,1.1866,1.1882,1.189,1.183,-0.21%
5-Dec-17,1.1826,1.1866,1.1879,1.1801,-0.34%
6-Dec-17,1.1796,1.1825,1.1849,1.178,-0.25%
7-Dec-17,1.1773,1.1796,1.1816,1.1772,-0.19%
8-Dec-17,1.1764,1.1771,1.1778,1.1728,-0.08%
11-Dec-17,1.1768,1.1767,1.1812,1.1762,0.03%
12-Dec-17,1.1742,1.177,1.1794,1.1718,-0.22%
13-Dec-17,1.1826,1.1743,1.1832,1.1729,0.72%
14-Dec-17,1.1778,1.1826,1.1863,1.177,-0.41%
15-Dec-17,1.1754,1.1778,1.1814,1.1751,-0.20%
18-Dec-17,1.1782,1.1753,1.1834,1.1737,0.24%
19-Dec-17,1.184,1.1782,1.1851,1.1777,0.49%
20-Dec-17,1.1871,1.184,1.1903,1.1829,0.26%
21-Dec-17,1.1873,1.1871,1.1889,1.1848,0.02%
22-Dec-17,1.1859,1.1874,1.1878,1.1817,-0.12%
25-Dec-17,1.1869,1.185,1.1882,1.1842,0.08%
26-Dec-17,1.1859,1.1867,1.1879,1.1845,-0.08%
27-Dec-17,1.1888,1.1859,1.1912,1.1855,0.24%
28-Dec-17,1.1943,1.1888,1.1961,1.1888,0.46%
29-Dec-17,1.1998,1.1943,1.203,1.1937,0.46%
1-Jan-18,1.201,1.2003,1.2014,1.1995,0.10%
2-Jan-18,1.2059,1.2013,1.2084,1.2003,0.41%
3-Jan-18,1.2014,1.2058,1.207,1.2001,-0.37%
4-Jan-18,1.2068,1.2015,1.209,1.2004,0.45%
5-Jan-18,1.203,1.2068,1.2085,1.2021,-0.31%
8-Jan-18,1.1967,1.2029,1.2054,1.1956,-0.52%
9-Jan-18,1.1937,1.1967,1.1977,1.1916,-0.25%
10-Jan-18,1.1947,1.1938,1.2019,1.1923,0.08%
11-Jan-18,1.2032,1.1946,1.206,1.1928,0.71%
12-Jan-18,1.2187,1.2033,1.219,1.2031,1.29%
15-Jan-18,1.2263,1.2198,1.2298,1.2188,0.62%
16-Jan-18,1.2261,1.2265,1.2284,1.2194,-0.02%
17-Jan-18,1.2186,1.226,1.2324,1.2176,-0.61%
18-Jan-18,1.2239,1.2186,1.2267,1.2165,0.43%
19-Jan-18,1.2222,1.2236,1.2296,1.2219,-0.14%
22-Jan-18,1.2262,1.2268,1.2276,1.2214,0.33%
23-Jan-18,1.2299,1.2263,1.2308,1.2223,0.30%
