Date,Price,Open,High,Low,Vol.,Change %
2/21/2018,2698.75,"2,714.50","2,747.75","2,693.50",1.66M,-0.56%
2/22/2018,2711.50,"2,698.50","2,731.00","2,682.00",1.62M,0.47%
2/23/2018,2748.75,"2,712.75","2,750.25","2,710.00",1.29M,1.37%
2/26/2018,2784.50,"2,751.50","2,786.00","2,742.50",1.26M,1.30%
2/27/2018,2747.50,"2,783.50","2,789.75","2,742.00",1.72M,-1.33%
2/28/2018,2714.50,"2,746.50","2,762.00","2,712.00",1.88M,-1.20%
3/1/2018,2678.25,"2,718.25","2,731.00","2,658.50",2.82M,-1.34%
3/2/2018,2690.25,"2,678.75","2,696.00","2,647.00",2.17M,0.45%
3/5/2018,2718.50,"2,683.25","2,727.75","2,663.75",1.78M,1.05%
3/6/2018,2724.00,"2,719.00","2,734.50","2,710.25",1.45M,0.20%
3/7/2018,2723.25,"2,700.00","2,730.25","2,681.25",1.87M,-0.03%
3/8/2018,2739.25,"2,722.50","2,740.50","2,720.00",1.50M,0.59%
3/9/2018,2784.00,"2,736.50","2,787.00","2,730.00",1.54M,1.63%
3/12/2018,2784.00,"2,784.00","2,800.50","2,779.00",1.23M,0.00%
3/13/2018,2768.50,"2,782.25","2,802.50","2,758.50",1.23M,-0.56%
3/14/2018,2749.75,"2,763.00","2,779.50","2,744.25",766.90K,-0.68%
3/15/2018,2751.50,"2,750.75","2,763.50","2,741.00",358.57K,0.06%
3/16/2018,2751.83,"2,753.75","2,757.00","2,747.00",46.76K,0.01%
3/19/2018,2722.75,"2,756.25","2,756.50","2,697.25",1.99M,-1.06%
3/20/2018,2723.50,"2,721.50","2,729.00","2,712.75",1.10M,0.03%
3/21/2018,2718.25,"2,723.25","2,744.00","2,712.50",1.42M,-0.19%
3/22/2018,2643.25,"2,718.25","2,726.25","2,641.75",2.55M,-2.76%
3/23/2018,2597.75,"2,645.75","2,658.75","2,586.00",2.88M,-1.72%
3/26/2018,2659.50,"2,595.00","2,662.75","2,591.00",2.30M,2.38%
3/27/2018,2615.75,"2,659.50","2,679.75","2,596.00",2.45M,-1.65%
3/28/2018,2607.50,"2,612.75","2,633.75","2,593.00",2.80M,-0.32%
3/29/2018,2643.00,"2,609.75","2,659.50","2,601.00",2.04M,1.36%
4/2/2018,2575.00,"2,635.00","2,641.50","2,552.00",2.40M,-2.57%
4/3/2018,2613.25,"2,581.25","2,618.75","2,573.50",2.22M,1.49%
4/4/2018,2647.00,"2,612.00","2,649.75","2,559.50",2.25M,1.29%
4/5/2018,2661.75,"2,645.75","2,672.25","2,644.00",1.64M,0.56%
4/6/2018,2605.75,"2,663.00","2,664.00","2,584.50",2.62M,-2.10%
4/9/2018,2619.00,"2,607.50","2,653.75","2,607.50",1.76M,0.51%
